scenario_name,rainfall_mm,gauge_level_m,call_volume,risk_label,regime
Synthetic_LOW_Sample_0146,20.5,2.41,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0147,12.9,1.85,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0148,20.1,1.18,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0149,14.6,2.09,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0150,16.2,1.7,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0151,19.9,2.18,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0152,22.4,1.69,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0153,19.7,1.52,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0154,15.1,2.52,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0155,17.2,1.94,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0156,19.3,2.07,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0157,17.9,1.68,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0158,10.3,1.36,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0159,27.3,1.78,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0160,21.5,2.89,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0161,19.7,1.55,14,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0162,21.1,1.62,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0163,17.4,1.51,33,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0164,24.0,1.86,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0165,20.5,1.58,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0166,22.5,1.52,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0167,16.4,1.41,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0168,28.4,1.4,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0169,17.4,1.71,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0170,16.5,1.88,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0171,21.4,1.85,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0172,16.3,1.68,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0173,22.4,1.54,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0174,23.4,1.31,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0175,17.4,2.06,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0176,12.4,1.33,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0177,21.3,1.57,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0178,13.1,1.84,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0179,17.4,1.88,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0180,18.6,2.2,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0181,23.8,1.49,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0182,26.4,1.05,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0183,22.7,1.8,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0184,17.6,1.9,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0185,25.2,1.95,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0186,18.4,1.7,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0187,21.9,1.73,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0188,29.1,2.16,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0189,25.4,1.73,12,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0190,15.9,1.25,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0191,20.3,2.42,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0192,19.3,2.14,11,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0193,21.2,2.12,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0194,25.1,1.98,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0195,22.9,2.62,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0196,21.3,1.71,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0197,23.8,1.58,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0198,18.2,2.03,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0199,24.7,1.7,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0200,16.0,1.72,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0201,23.5,1.56,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0202,26.0,2.0,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0203,16.9,1.45,13,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0204,26.6,2.08,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0205,21.4,1.49,38,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0206,20.8,1.9,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0207,22.3,1.94,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0208,22.2,2.49,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0209,27.1,1.7,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0210,19.7,1.89,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0211,12.9,2.37,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0212,18.4,1.53,14,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0213,23.7,1.89,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0214,14.6,1.76,33,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0215,19.1,1.37,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0216,19.0,0.97,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0217,19.2,2.1,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0218,25.1,1.78,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0219,31.3,1.89,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0220,20.1,1.93,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0221,17.7,1.69,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0222,17.9,1.63,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0223,19.1,2.37,8,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0224,24.9,2.28,12,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0225,18.7,1.74,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0226,16.9,1.5,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0227,24.2,2.29,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0228,15.3,1.69,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0229,14.9,2.1,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0230,18.6,2.1,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0231,18.7,2.25,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0232,22.9,2.06,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0233,21.6,1.45,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0234,19.4,1.69,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0235,17.2,1.4,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0236,22.8,1.44,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0237,11.3,2.43,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0238,19.8,1.69,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0239,20.0,2.23,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0240,20.9,1.75,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0241,21.5,1.3,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0242,23.4,1.92,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0243,20.3,1.98,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0244,16.9,1.93,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0245,22.0,1.3,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0246,22.2,1.95,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0247,27.4,2.2,13,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0248,14.7,1.66,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0249,22.4,1.63,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0250,17.0,1.66,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0251,16.2,1.42,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0252,24.7,1.55,39,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0253,22.3,1.93,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0254,23.2,1.68,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0255,31.2,1.83,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0256,17.2,1.86,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0257,17.5,2.47,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0258,17.8,2.08,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0259,22.9,1.35,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0260,19.1,1.84,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0261,21.0,1.42,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0262,22.8,2.05,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0263,23.8,2.02,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0264,13.1,2.01,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0265,21.4,1.44,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0266,24.7,1.85,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0267,20.3,1.88,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0268,18.0,1.9,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0269,18.3,1.76,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0270,18.1,2.28,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0271,19.4,1.72,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0272,21.1,2.21,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0273,21.4,2.16,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0274,24.8,1.69,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0275,30.1,1.75,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0276,26.5,2.39,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0277,18.4,1.77,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0278,16.3,1.53,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0279,20.1,1.94,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0280,15.9,2.19,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0281,20.0,2.09,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0282,21.8,1.92,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0283,21.4,2.68,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0284,17.9,1.66,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0285,17.5,2.26,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0286,17.8,1.59,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0287,17.8,2.08,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0288,13.7,2.38,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0289,17.6,1.74,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0290,21.6,2.09,35,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0291,19.4,1.6,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0292,17.1,1.86,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0293,18.0,1.94,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0294,25.3,2.71,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0295,18.1,2.21,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0296,28.1,2.06,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0297,22.7,2.24,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0298,22.4,2.22,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0299,26.1,2.08,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0300,20.8,2.27,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0301,21.8,1.74,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0302,25.7,1.93,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0303,14.4,2.11,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0304,29.5,1.76,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0305,21.3,2.39,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0306,21.4,2.07,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0307,18.3,1.93,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0308,15.8,1.91,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0309,25.3,1.36,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0310,21.8,2.39,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0311,17.8,2.49,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0312,10.7,2.01,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0313,15.8,2.1,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0314,17.8,1.44,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0315,23.0,1.83,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0316,15.6,1.36,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0317,20.0,1.95,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0318,21.7,1.45,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0319,19.9,2.24,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0320,22.2,2.06,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0321,23.0,2.31,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0322,23.3,1.84,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0323,17.3,2.47,23,LOW,Baseline Distribution Sample
