zone_id,recorded_river_level,recorded_rainfall_24h,historical_outcome
Zone_B,4.61,70.33,FLOODED
Zone_B,2.61,66.83,FLOODED
Zone_B,2.5,61.35,FLOODED
Zone_B,3.77,65.38,FLOODED
Zone_B,6.97,93.78,FLOODED
Zone_B,1.52,88.54,FLOODED
Zone_B,1.87,95.3,FLOODED
Zone_B,3.05,38.2,NORMAL
Zone_B,2.0,11.23,NORMAL
Zone_B,5.5,94.43,FLOODED
Zone_B,4.86,71.59,FLOODED
Zone_B,5.69,26.28,FLOODED
Zone_B,1.75,0.19,NORMAL
Zone_B,3.43,24.15,NORMAL
Zone_B,1.84,17.95,NORMAL
Zone_B,2.18,91.49,FLOODED
Zone_B,2.27,53.76,NORMAL
Zone_B,4.76,54.35,FLOODED
Zone_C,2.04,31.88,NORMAL
Zone_C,1.78,39.57,NORMAL
Zone_C,2.54,56.16,NORMAL
Zone_C,5.31,53.21,FLOODED
Zone_C,3.89,38.73,NORMAL
Zone_C,6.13,21.94,FLOODED
Zone_C,5.54,75.75,FLOODED
Zone_C,3.81,29.73,NORMAL
Zone_C,4.09,9.32,NORMAL
Zone_C,1.75,11.16,NORMAL
Zone_C,2.53,50.42,NORMAL
Zone_C,6.17,23.56,FLOODED
Zone_C,6.64,95.49,FLOODED
Zone_C,6.77,83.76,FLOODED
Zone_C,3.5,7.27,NORMAL
Zone_C,4.63,55.87,FLOODED
Zone_C,6.17,99.6,FLOODED
Zone_C,4.29,34.52,NORMAL
Zone_C,2.52,0.48,NORMAL
Zone_C,4.3,55.55,NORMAL
Zone_C,6.04,50.46,FLOODED
Zone_C,6.54,62.81,FLOODED
Zone_C,6.12,14.83,FLOODED
Zone_C,6.2,67.51,FLOODED
Zone_C,2.44,18.98,NORMAL
Zone_C,6.6,3.22,FLOODED
Zone_C,4.04,31.35,NORMAL
Zone_C,5.16,83.96,FLOODED
Zone_C,3.48,42.69,NORMAL
Zone_C,6.9,78.39,FLOODED
Zone_C,6.43,43.88,FLOODED
Zone_C,2.79,41.19,NORMAL
Zone_C,5.44,10.94,FLOODED
Zone_C,2.99,4.66,NORMAL
Zone_C,3.88,82.74,FLOODED
Zone_C,1.64,67.53,FLOODED
Zone_C,6.63,23.69,FLOODED
Zone_C,5.31,97.51,FLOODED
Zone_C,6.79,23.49,FLOODED
Zone_C,2.05,14.83,NORMAL
Zone_C,5.36,72.58,FLOODED
Zone_C,5.21,33.61,FLOODED
Zone_C,2.43,58.08,NORMAL
Zone_C,4.16,72.88,FLOODED
Zone_C,3.93,33.86,NORMAL
Zone_C,3.11,21.15,NORMAL
Zone_C,2.96,9.48,NORMAL
Zone_C,3.41,3.66,NORMAL
Zone_C,2.53,74.68,FLOODED
Zone_C,3.29,66.82,FLOODED
Zone_D,5.44,58.12,FLOODED
Zone_D,6.77,2.14,FLOODED
Zone_D,5.56,95.88,FLOODED
Zone_D,6.24,16.79,FLOODED
Zone_D,3.3,17.25,NORMAL
Zone_D,4.81,71.22,FLOODED
Zone_D,3.24,53.95,NORMAL
Zone_D,5.3,42.13,FLOODED
Zone_D,6.2,77.15,FLOODED
Zone_D,1.86,62.11,FLOODED
Zone_D,2.79,55.75,NORMAL
Zone_D,6.76,87.91,FLOODED
Zone_D,3.72,29.15,NORMAL
Zone_D,2.79,53.25,NORMAL
Zone_D,2.13,54.93,NORMAL
Zone_D,1.51,32.38,NORMAL
Zone_D,2.71,97.12,FLOODED
Zone_D,5.5,34.97,FLOODED
Zone_D,2.01,51.68,NORMAL
Zone_D,2.67,53.64,NORMAL
Zone_D,6.09,61.58,FLOODED
Zone_D,4.99,54.1,FLOODED
Zone_D,6.6,93.19,FLOODED
Zone_D,4.32,30.58,NORMAL
Zone_D,4.03,18.66,NORMAL
Zone_D,5.0,50.01,FLOODED
Zone_D,2.07,19.76,NORMAL
Zone_D,4.14,88.76,FLOODED
Zone_D,4.62,68.15,FLOODED
Zone_D,3.36,57.14,NORMAL
Zone_D,3.96,65.91,FLOODED
Zone_D,1.78,49.33,NORMAL
Zone_D,3.13,32.62,NORMAL
Zone_D,6.79,18.27,FLOODED
Zone_D,3.21,50.99,NORMAL
Zone_D,6.25,41.67,FLOODED
Zone_D,5.59,85.64,FLOODED
Zone_D,3.21,39.28,NORMAL
Zone_D,3.46,83.29,FLOODED
Zone_D,1.74,30.84,NORMAL
Zone_D,5.24,56.54,FLOODED
Zone_D,3.9,53.99,NORMAL
Zone_D,2.59,43.07,NORMAL
Zone_D,4.26,90.12,FLOODED
Zone_D,2.93,86.78,FLOODED
Zone_D,5.04,2.03,FLOODED
Zone_D,5.49,3.56,FLOODED
Zone_D,6.99,87.26,FLOODED
Zone_D,3.14,25.74,NORMAL
Zone_D,3.6,35.62,NORMAL
